headersASUS ZenBook15.6" Intel Whiskey Lake i7-8565U, 16 GB DDR4, 1 TB PCIe SSD, GTX 1050, IR Camera, Windows 10 Pro - Icicle Silver Ultra Slim Compact FHD 4-Way NanoEdge - UX533FD-NS76 Newegg Exclusive,ASUS ZenBook UX533 Ultra Slim Compact Laptop| 15.6" FHD 4-Way NanoEdge| Intel Core i7-8565U| 16GB DDR4| 1TB PCIe SSD| GeForce GTX 1050| IR Camera| TPM| Windows 10 Pro| Icicle Silver| UX533FD-NS76 Newe,Free Shipping
Acer Aspire 3 15.6" - AMD Ryzen 7 2700U Quad-core (4 Core) 2.20 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Home 64-bit - 1920 x 1080 - A315-41-R14K - NX.GY9AA.014 - Obsidian Black,Acer Aspire 3 15.6" - AMD Ryzen 7 2700U Quad-core (4 Core) 2.20 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Home 64-bit - 1920 x 1080 - A315-41-R14K - NX.GY9AA.014 - Obsidian Black,$2.99 Shipping
Lenovo Laptop IdeaPad L340 81LG0011US Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-bit(Newegg EXCLUSIVE),Lenovo Laptop IdeaPad L340 81LG0011US Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-bit,$2.99 Shipping
Acer Laptop Swift 3 SF315-52-81HD Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-bit,Acer Laptop Swift 3 SF315-52-81HD Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Home 64-bit,Free Shipping
DELL Laptop XPS 15-9570 Intel Core i7 8th Gen 8750H (2.20 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce GTX 1050 Ti 15.6" InfinityEdge IPS Windows 10 Pro 64-bit Newegg Exclusive,DELL Laptop XPS 15-9570 Intel Core i7 8th Gen 8750H (2.20 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce GTX 1050 Ti 15.6" InfinityEdge IPS Windows 10 Pro 64-bit Newegg Exclusive,$0.99 Shipping
ASUS VivoBook S15 15.6" Full HD NanoEdge Bezel, Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51-IG, Icicle Gold Slim and Portable Laptop,,ASUS VivoBook S15 15.6" Full HD NanoEdge Bezel| Whiskey Lake Intel Core i5-8265U Processor| 8 GB DDR4| 256 GB SSD| Windows 10 - S530FA-DB51-IG| Icicle Gold Slim and Portable Laptop|,Free Shipping
Lenovo Laptop IdeaPad 330 81D2005CUS AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-Bit,Lenovo Laptop IdeaPad 330 81D2005CUS AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-Bit,$2.99 Shipping
ASUS VivoBook S Intel Core i5-8250U Processor, 8 GB DDR4 RAM, 256 GB SSD, NVIDIA GeForce MX150 15.6" FHD WideView Display, ASUS NanoEdge Bezel, Metal Cover, FingerPrint Ultra Thin and Portable Laptop,ASUS VivoBook S Intel Core i5-8250U Processor| 8 GB DDR4 RAM| 256 GB SSD| NVIDIA GeForce MX150 15.6" FHD WideView Display| ASUS NanoEdge Bezel| Metal Cover| FingerPrint Ultra Thin and Portable Laptop,$2.99 Shipping
DELL Laptop Inspiron 15 5570 i5570-7279SLV Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" FHD 1920 x 1080 Windows 10 Home 64-bit,DELL Laptop Inspiron 15 5570 i5570-7279SLV Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" FHD 1920 x 1080 Windows 10 Home 64-bit,Free Shipping
Huawei Laptop MateBook D 53010CRG AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 14.0" Touchscreen Windows 10 Home 64-bit,Huawei Laptop MateBook D 53010CRG AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 14.0" Touchscreen Windows 10 Home 64-bit,$2.99 Shipping
Acer Laptop Swift 3 SF314-54-56L8 Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0" IPS Windows 10 Home 64-Bit,Acer Laptop Swift 3 SF314-54-56L8 Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0" IPS Windows 10 Home 64-Bit,$7.99 Shipping
SAMSUNG Chromebook Pro XE510C25-K01US Chromebook Intel Core M3 6Y30 (0.90 GHz) 4 GB LPDDR3 Memory 32 GB eMMC 12.3" Touchscreen Chrome OS,SAMSUNG Chromebook Pro XE510C25-K01US Chromebook 12.3" Chrome OS,$2.99 Shipping
